Year,Sector,Program_ID,Approved_Local_Currency,Budget_Type,Province,Quarter,PF4C_Tag,GEWE_Tag,Climate_Tag,Approved_USD
2024,Social Protection,P0001,136864807,Approved,Huambo,2,Not Tagged,Not Tagged,Not Tagged,760360.04
2024,Rural Development,P0002,99964252,Approved,Luanda,3,Child Focus,Gender Impact,Climate Impact,555356.96
2024,Education,P0003,133666289,Approved,Luanda,1,Not Tagged,Not Tagged,Not Tagged,742590.49
2024,Education,P0004,139550289,Approved,Huambo,3,Not Tagged,Not Tagged,Not Tagged,775279.38
2024,Education,P0005,136580676,Proposed,Luanda,1,Not Tagged,Not Tagged,Not Tagged,758781.53
2024,Social Protection,P0006,101911941,Approved,Bié,2,Not Tagged,Not Tagged,Climate Impact,566177.45
2024,Education,P0007,132260679,Proposed,Bié,1,Not Tagged,Not Tagged,Climate Impact,734781.55
2024,Rural Development,P0008,68742256,Approved,Huambo,3,Child Focus,Gender Impact,Not Tagged,381901.42
2024,Education,P0009,119896984,Proposed,Luanda,4,Not Tagged,Not Tagged,Not Tagged,666094.36
2024,Rural Development,P0010,66385065,Proposed,Luanda,1,Not Tagged,Not Tagged,Not Tagged,368805.92
2024,Health,P0011,141680265,Proposed,Bié,1,Child Focus,Gender Impact,Not Tagged,787112.58
2024,Health,P0012,120170967,Approved,Luanda,4,Child Focus,Gender Impact,Not Tagged,667616.48
2024,Rural Development,P0013,81329165,Proposed,Luanda,1,Child Focus,Gender Impact,Not Tagged,451828.69
2024,Social Protection,P0014,82886607,Proposed,Uíge,4,Not Tagged,Not Tagged,Not Tagged,460481.15
2024,Health,P0015,102500491,Approved,Luanda,4,Not Tagged,Not Tagged,Climate Impact,569447.17
2024,Education,P0016,78255722,Approved,Uíge,3,Not Tagged,Not Tagged,Not Tagged,434754.01
2024,Social Protection,P0017,124816704,Approved,Huambo,3,Not Tagged,Not Tagged,Climate Impact,693426.13
2024,Health,P0018,145921797,Approved,Bié,2,Child Focus,Gender Impact,Not Tagged,810676.65
2024,Education,P0019,77581877,Approved,Luanda,2,Not Tagged,Not Tagged,Not Tagged,431010.43
2024,Social Protection,P0020,104509903,Approved,Cuando Cubango,2,Child Focus,Gender Impact,Not Tagged,580610.57
2024,Education,P0021,65105950,Approved,Bié,3,Not Tagged,Not Tagged,Not Tagged,361699.72
2024,Social Protection,P0022,66262992,Approved,Huambo,2,Not Tagged,Not Tagged,Not Tagged,368127.73
2024,Education,P0023,107881341,Approved,Huambo,3,Not Tagged,Not Tagged,Not Tagged,599340.78
2024,Rural Development,P0024,85324339,Approved,Bié,3,Not Tagged,Not Tagged,Not Tagged,474024.11
2024,Education,P0025,90023364,Approved,Luanda,3,Child Focus,Gender Impact,Climate Impact,500129.8
2024,Education,P0026,97703647,Approved,Cuando Cubango,2,Not Tagged,Not Tagged,Not Tagged,542798.04
2024,Social Protection,P0027,61763638,Approved,Luanda,4,Not Tagged,Not Tagged,Climate Impact,343131.32
2024,Health,P0028,93650774,Approved,Luanda,4,Not Tagged,Not Tagged,Climate Impact,520282.08
2024,Education,P0029,58805998,Approved,Huambo,2,Child Focus,Gender Impact,Not Tagged,326699.99
2024,Health,P0030,67564196,Approved,Luanda,3,Not Tagged,Not Tagged,Not Tagged,375356.64
