Year,Sector,Program_ID,Approved_Local_Currency,Budget_Type,Province,Quarter
2025,Rural Development,P1001,81298919,Approved,Huambo,2
2025,Health,P1002,81271009,Approved,Huambo,2
2025,Social Protection,P1003,159291794,Approved,Luanda,2
2025,Health,P1004,108538036,Proposed,Bié,4
2025,Health,P1005,133190028,Proposed,Bié,4
2025,Social Protection,P1006,75807392,Proposed,Bié,3
2025,Health,P1007,86959742,Proposed,Bié,3
2025,Education,P1008,123794999,Proposed,Bié,2
2025,Health,P1009,143074135,Proposed,Luanda,3
2025,Education,P1010,96090370,Proposed,Huambo,3
2025,Rural Development,P1011,147358230,Proposed,Luanda,4
2025,Education,P1012,97121009,Approved,Huambo,4
2025,Social Protection,P1013,79238565,Proposed,Bié,3
2025,Social Protection,P1014,169042169,Proposed,Cuando Cubango,4
2025,Education,P1015,133431394,Approved,Huambo,1
2025,Rural Development,P1016,119507663,Proposed,Luanda,3
2025,Health,P1017,69751160,Proposed,Bié,3
2025,Health,P1018,154296790,Approved,Cuando Cubango,3
2025,Infrastructure,P1019,168202919,Approved,Bié,4
2025,Rural Development,P1020,116889713,Proposed,Huambo,3
2025,Infrastructure,P1021,109178720,Approved,Cuando Cubango,2
2025,Health,P1022,152943616,Approved,Luanda,3
2025,Education,P1023,137189953,Proposed,Luanda,4
2025,Social Protection,P1024,74442983,Proposed,Luanda,2
2025,Education,P1025,163306822,Approved,Huambo,2
2025,Health,P1026,125249837,Proposed,Huambo,1
2025,Education,P1027,91206865,Proposed,Luanda,4
2025,Health,P1028,97585058,Approved,Bié,1
2025,Infrastructure,P1029,105484029,Approved,Cuando Cubango,1
2025,Health,P1030,166466473,Approved,Huambo,3
2025,Education,P1031,130452015,Approved,Bié,3
2025,Education,P1032,94235411,Approved,Bié,4
2025,Education,P1033,151392200,Approved,Uíge,4
2025,Social Protection,P1034,85122894,Proposed,Luanda,3
2025,Education,P1035,161491473,Approved,Luanda,3
2025,Education,P1036,160990126,Approved,Huambo,3
2025,Social Protection,P1037,87861034,Approved,Bié,4
2025,Education,P1038,86563052,Proposed,Bié,2
2025,Health,P1039,123294517,Approved,Luanda,4
2025,Education,P1040,107896151,Approved,Cuando Cubango,4
2025,Infrastructure,P1041,84898032,Proposed,Luanda,4
2025,Health,P1042,65350153,Approved,Huambo,3
2025,Education,P1043,83183227,Proposed,Luanda,4
2025,Education,P1044,153639806,Approved,Huambo,1
2025,Social Protection,P1045,157165964,Approved,Luanda,2
2025,Education,P1046,152139869,Approved,Luanda,3
2025,Education,P1047,64586344,Approved,Luanda,4
2025,Social Protection,P1048,169295077,Approved,Bié,1
2025,Health,P1049,106578191,Approved,Luanda,4
2025,Education,P1050,122791861,Approved,Luanda,4
2025,Health,P1051,152587253,Approved,Bié,2
2025,Education,P1052,150403841,Approved,Luanda,2
2025,Rural Development,P1053,151974891,Approved,Huambo,4
2025,Social Protection,P1054,124687704,Approved,Luanda,4
2025,Rural Development,P1055,127505214,Proposed,Bié,4
2025,Education,P1056,162225852,Approved,Bié,4
2025,Social Protection,P1057,113122938,Approved,Cuando Cubango,2
2025,Social Protection,P1058,81095460,Proposed,Huambo,4
2025,Social Protection,P1059,67987244,Approved,Luanda,4
2025,Education,P1060,152826341,Approved,Luanda,4
2025,Education,P1061,92703776,Proposed,Huambo,2
2025,Education,P1062,67932746,Approved,Bié,1
2025,Social Protection,P1063,79349420,Approved,Bié,4
2025,Education,P1064,108895356,Approved,Luanda,4
2025,Rural Development,P1065,153021725,Proposed,Huambo,1
2025,Health,P1066,92955672,Proposed,Luanda,4
2025,Health,P1067,70131805,Proposed,Luanda,1
2025,Rural Development,P1068,114946013,Proposed,Bié,2
2025,Rural Development,P1069,68258122,Approved,Uíge,3
2025,Health,P1070,149032642,Approved,Luanda,4
2025,Rural Development,P1071,155047620,Proposed,Luanda,1
2025,Health,P1072,79006520,Approved,Luanda,2
2025,Social Protection,P1073,58484400,Approved,Cuando Cubango,2
2025,Health,P1074,75493562,Approved,Luanda,1
2025,Education,P1075,63134307,Proposed,Huambo,1
2025,Social Protection,P1076,102908414,Proposed,Huambo,1
2025,Social Protection,P1077,122681996,Approved,Huambo,4
2025,Social Protection,P1078,97407747,Approved,Luanda,1
2025,Health,P1079,62280494,Approved,Luanda,1
2025,Social Protection,P1080,90171578,Approved,Luanda,4
2025,Health,P1081,69299819,Approved,Luanda,3
2025,Social Protection,P1082,99184431,Approved,Bié,1
2025,Social Protection,P1083,88175586,Approved,Luanda,4
2025,Social Protection,P1084,95687311,Proposed,Huambo,4
2025,Education,P1085,132959120,Approved,Luanda,1
2025,Education,P1086,150362043,Proposed,Luanda,3
2025,Social Protection,P1087,99197217,Approved,Huambo,1
2025,Education,P1088,94447350,Approved,Bié,2
2025,Infrastructure,P1089,85601259,Proposed,Huambo,1
2025,Rural Development,P1090,109287277,Approved,Luanda,3
2025,Rural Development,P1091,105170535,Proposed,Uíge,2
2025,Education,P1092,125212326,Approved,Bié,1
2025,Rural Development,P1093,107028266,Approved,Luanda,4
2025,Infrastructure,P1094,75948861,Proposed,Bié,3
2025,Health,P1095,89306706,Proposed,Luanda,3
2025,Health,P1096,143863336,Proposed,Luanda,3
2025,Health,P1097,158304904,Proposed,Luanda,4
2025,Education,P1098,113317104,Proposed,Luanda,3
2025,Health,P1099,110536338,Proposed,Bié,4
2025,Health,P1100,135241883,Approved,Luanda,1
